guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/tamil-nadu/kamal-haasan-reiterates-wish-to-team-up-with-rajinikanth-for-tn-assembly-polls/story-PrfS63TMffT7i8turwiEpO.html',b'Kamal Haasan wants to team up with Rajinikanth for TN assembly polls',"b'Tue, 06 Aug 2019 03:34:49 GMT '",b'Kamal Haasan believes that his partnership with Rajinikanth can help them achieve what the masses want.',b'https://www.hindustantimes.com/tamil-nadu/kamal-haasan-reiterates-wish-to-team-up-with-rajinikanth-for-tn-assembly-polls/story-PrfS63TMffT7i8turwiEpO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/kamal-haasan-rally-in-tirunelveli_6541abb8-b856-11e9-a203-e6c4ad816de5.jpg
b'https://www.hindustantimes.com/analysis/the-supremacy-of-the-indian-state-and-parliament-opinion/story-NwMHMsKjfRGliutAkNahzO.html',b'The supremacy of the Indian State and Parliament | Opinion',"b'Tue, 06 Aug 2019 03:00:35 GMT '",b'The opposition\xe2\x80\x99s criticisms do not hold. The government\xe2\x80\x99s move is legally sound. Kashmir is an internal affair. ',b'https://www.hindustantimes.com/analysis/the-supremacy-of-the-indian-state-and-parliament-opinion/story-NwMHMsKjfRGliutAkNahzO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/dominion-prime-minister-sardar-vallabhai-patel-deputy_932be9fc-b857-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/analysis/india-has-succeeded-in-outflanking-pakistan-opinion/story-jlhras68bTpExTD1OomVJK.html',b'India has succeeded in outflanking Pakistan | Opinion',"b'Tue, 06 Aug 2019 02:58:27 GMT '",b'There is now no scope to discuss the issue of Kashmir with Islamabad in any \xe2\x80\x9ccomprehensive dialogue\xe2\x80\x9d',b'https://www.hindustantimes.com/analysis/india-has-succeeded-in-outflanking-pakistan-opinion/story-jlhras68bTpExTD1OomVJK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/05/Pictures/restrictions-night-curfews-imposed-in-several-parts_af7add50-b76e-11e9-98cb-e738ad509720.jpg
b'https://www.hindustantimes.com/india-news/amit-shah-in-final-push-to-article-370-says-will-embrace-people-in-jammu-and-kashmir/story-hoKohWrFs8QFYCGL93aALJ.html',b'Article 370 is history. Lok Sabha also scraps Kashmir special status',"b'Tue, 06 Aug 2019 02:24:18 GMT '","b'Under Article 370, laws by Parliament do not automatically apply to Jammu and Kashmir, according to conditions under which it acceded to India, something governed by the so-called Instrument of Accession.'",b'https://www.hindustantimes.com/india-news/amit-shah-in-final-push-to-article-370-says-will-embrace-people-in-jammu-and-kashmir/story-hoKohWrFs8QFYCGL93aALJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/article-parliament-addressing-during-resolution-revoke-sabha_71d247ea-b84a-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/india-news/china-says-move-to-reorganise-ladakh-unacceptable-advises-caution-on-kashmir/story-PB55GaT6suZ7ZNiusabKLL.html',"b""China calls UT status for Ladakh 'unacceptable', triggers India's sharp response""","b'Tue, 06 Aug 2019 02:19:22 GMT '",b'Beijing\xe2\x80\x99s strong response comes a day after the BJP-led Indian government stripped Jammu and Kashmir of its special status and bifurcated the state into two union territories of J&K and Ladakh.',b'https://www.hindustantimes.com/india-news/china-says-move-to-reorganise-ladakh-unacceptable-advises-caution-on-kashmir/story-PB55GaT6suZ7ZNiusabKLL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/inside-china-vast-police-state-heart-belt_ba7c9a0c-b842-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/india-news/ladakh-mp-s-speech-in-lok-sabha-gets-thumbs-up-from-pm-modi/story-fVBcDwLaJXgSya97hLZ0SJ.html',"b""Ladakh MP's speech in Lok Sabha gets thumbs up from PM Modi""","b'Tue, 06 Aug 2019 01:49:40 GMT '","b'Participating in the debate on a motion to abrogate special status to J-K and split the state into two Union Territories, Namgyal said the people of Ladakh had been fighting for UT status for the last seven decades.'",b'https://www.hindustantimes.com/india-news/ladakh-mp-s-speech-in-lok-sabha-gets-thumbs-up-from-pm-modi/story-fVBcDwLaJXgSya97hLZ0SJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/namgyal-session-ongoing-tsering-during-ladakh-jamyang_75b5c16a-b846-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/india-news/tej-pratap-is-drug-addict-used-to-dress-up-like-gods-claims-his-wife/story-BGLHQLJQNsNe27FfglfkfL.html',"b'Tej Pratap is drug-addict, used to dress up like gods, claims his wife'","b'Tue, 06 Aug 2019 01:43:12 GMT '","b'Aishwarya Rai, Tej Pratap\xe2\x80\x99s wife, filed an application under Section 26, seeking protection from the family court under the Protection of Women Against Domestic Violence Act, 2005.'",b'https://www.hindustantimes.com/india-news/tej-pratap-is-drug-addict-used-to-dress-up-like-gods-claims-his-wife/story-BGLHQLJQNsNe27FfglfkfL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/_5980c688-b84c-11e9-8601-ae4f2ce17a49.png
b'https://www.hindustantimes.com/india-news/adhir-ranjan-s-bilateral-query-in-kashmir-debate-leaves-congress-red-faced/story-ZGTYdV6Lgc0dXfEjRuxKPM.html',"b""Adhir Ranjan Chowdhury's 'bilateral' query in Kashmir debate leaves Congress red...""","b'Tue, 06 Aug 2019 12:51:22 GMT '","b'The Lok Sabha is debating the BJP-led government\xe2\x80\x99s resolution to scrap Article 370, which grants special status to Jammu and Kashmir, and the Jammu and Kashmir Reorganisation Bill, 2019, a day after the Rajya Sabha passed both.'",b'https://www.hindustantimes.com/india-news/adhir-ranjan-s-bilateral-query-in-kashmir-debate-leaves-congress-red-faced/story-ZGTYdV6Lgc0dXfEjRuxKPM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/_a1a6b6ce-b82a-11e9-8601-ae4f2ce17a49.png
b'https://www.hindustantimes.com/cricket/why-pakistan-lost-to-india-in-2003-world-cup-shoaib-akhtar-reveals-sad-secret-about-loss/story-3jk7K2WTajX1XKB8kbPoSJ.html',"b""Why Pakistan lost to India in 2003 World Cup: Shoaib Akhtar reveals 'sad secret'...""","b'Tue, 06 Aug 2019 12:10:36 GMT '","b'The \xe2\x80\x98Rawalpindi Express\xe2\x80\x99 revealed that the night before the match, he had to take 4-5 injections on his left knee because of which it became numb. '",b'https://www.hindustantimes.com/cricket/why-pakistan-lost-to-india-in-2003-world-cup-shoaib-akhtar-reveals-sad-secret-about-loss/story-3jk7K2WTajX1XKB8kbPoSJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/shoaib-akhtar-in-action_22d980ec-b843-11e9-98cb-e738ad509720.jpg
b'https://www.hindustantimes.com/cricket/don-t-worry-will-sort-it-out-son-gautam-gambhir-reminds-shahid-afridi-about-pok/story-dCyTS9GPRhvkdPd4NWwBYL.html',"b""'Don't worry, will sort it out son': Gautam Gambhir reminds Shahid Afridi about...""","b'Tue, 06 Aug 2019 12:04:57 GMT '","b'Article 370 of the Constitution had given Jammu and Kashmir its own constitution and decision-making rights for all matters except for defence, communications and foreign affairs.'",b'https://www.hindustantimes.com/cricket/don-t-worry-will-sort-it-out-son-gautam-gambhir-reminds-shahid-afridi-about-pok/story-dCyTS9GPRhvkdPd4NWwBYL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/india-cricketer-gautam-gambhir-r-and-p_32fa5aba-b842-11e9-8601-ae4f2ce17a49.jpg
